degree, count
0, 0.1610948905109489126541
1, 0.1331751824817518359279
2, 0.0969343065693430705476
3, 0.0723722627737226342770
4, 0.0598540145985401450535
5, 0.0484306569343065720923
6, 0.0413868613138686156083
7, 0.0329562043795620443487
8, 0.0300364963503649620713
9, 0.0252554744525547436584
10, 0.0215693430656934310996
11, 0.0192335766423357666655
12, 0.0176642335766423359822
13, 0.0163138686131386878575
14, 0.0149270072992700730818
15, 0.0117518248175182485338
16, 0.0106934306569343058613
17, 0.0100000000000000002082
18, 0.0101459854014598546690
19, 0.0090875912408759119965
20, 0.0081386861313868606033
21, 0.0067518248175182484297
22, 0.0067518248175182484297
23, 0.0058759124087591242669
24, 0.0058759124087591242669
25, 0.0049635036496350369226
26, 0.0046715328467153288683
27, 0.0045985401459854016379
28, 0.0050000000000000001041
29, 0.0043795620437956208140
30, 0.0046350364963503648194
31, 0.0032116788321167881633
32, 0.0036496350364963502447
33, 0.0032116788321167881633
34, 0.0024452554744525548461
35, 0.0031751824817518249817
36, 0.0024087591240875912309
37, 0.0029927007299270073394
38, 0.0027007299270072992851
39, 0.0024452554744525548461
40, 0.0018978102189781021359
41, 0.0026277372262773720547
42, 0.0019343065693430657511
43, 0.0025182481751824816428
44, 0.0018248175182481751223
45, 0.0020437956204379563799
46, 0.0018978102189781021359
47, 0.0016058394160583940816
48, 0.0010583941605839415883
49, 0.0017518248175182481088
50, 0.0012408759124087592306
51, 0.0012043795620437956154
52, 0.0011678832116788322171
53, 0.0011313868613138686019
54, 0.0012043795620437956154
55, 0.0010218978102189781899
56, 0.0013138686131386860274
57, 0.0010583941605839415883
58, 0.0009854014598540145747
59, 0.0010583941605839415883
60, 0.0009124087591240875612
61, 0.0009124087591240875612
62, 0.0010218978102189781899
63, 0.0008394160583941605476
64, 0.0009489051094890510680
65, 0.0008394160583941605476
66, 0.0007664233576642335340
67, 0.0008394160583941605476
68, 0.0008759124087591240544
69, 0.0006934306569343065205
70, 0.0008029197080291970408
71, 0.0007664233576642335340
72, 0.0003649635036496350136
73, 0.0006204379562043796153
74, 0.0004744525547445255340
75, 0.0006934306569343065205
76, 0.0006569343065693430137
77, 0.0005474452554744526018
78, 0.0002919708029197080543
79, 0.0008759124087591240544
80, 0.0003284671532846715068
81, 0.0004379562043795620272
82, 0.0005474452554744526018
83, 0.0002919708029197080543
84, 0.0004014598540145985204
85, 0.0005109489051094890950
86, 0.0002554744525547445475
87, 0.0004744525547445255340
88, 0.0003649635036496350136
89, 0.0005109489051094890950
90, 0.0002189781021897810136
91, 0.0002554744525547445475
92, 0.0003284671532846715068
93, 0.0002189781021897810136
94, 0.0006204379562043796153
95, 0.0003649635036496350136
96, 0.0003649635036496350136
97, 0.0003649635036496350136
98, 0.0001459854014598540271
99, 0.0003284671532846715068
100, 0.0002554744525547445475
101, 0.0003284671532846715068
102, 0.0003284671532846715068
103, 0.0001459854014598540271
104, 0.0002189781021897810136
105, 0.0002919708029197080543
106, 0.0003649635036496350136
107, 0.0002919708029197080543
108, 0.0002189781021897810136
109, 0.0002919708029197080543
110, 0.0001824817518248175068
111, 0.0001824817518248175068
112, 0.0001094890510948905068
113, 0.0003284671532846715068
114, 0.0002919708029197080543
115, 0.0001824817518248175068
116, 0.0002189781021897810136
117, 0.0001094890510948905068
118, 0.0002919708029197080543
119, 0.0001824817518248175068
120, 0.0000729927007299270136
121, 0.0001824817518248175068
122, 0.0001094890510948905068
123, 0.0001459854014598540271
124, 0.0002189781021897810136
125, 0.0001824817518248175068
126, 0.0001824817518248175068
127, 0.0000729927007299270136
129, 0.0001824817518248175068
130, 0.0000364963503649635068
131, 0.0001459854014598540271
132, 0.0000364963503649635068
133, 0.0002189781021897810136
134, 0.0001094890510948905068
135, 0.0000364963503649635068
136, 0.0002189781021897810136
137, 0.0001094890510948905068
138, 0.0001094890510948905068
139, 0.0001459854014598540271
140, 0.0000364963503649635068
141, 0.0001459854014598540271
